,region,age,contents,year,value
420,Notodden,67-79 years,Living alone,2019,483
421,Notodden,67-79 years,Living with others,2019,1120
422,Notodden,80 years or older,Living alone,2019,353
423,Notodden,80 years or older,Living with others,2019,290
424,Færder,67-79 years,Living alone,2019,896
425,Færder,67-79 years,Living with others,2019,2584
426,Færder,80 years or older,Living alone,2019,730
427,Færder,80 years or older,Living with others,2019,609
428,Siljan,67-79 years,Living alone,2019,47
429,Siljan,67-79 years,Living with others,2019,221
430,Siljan,80 years or older,Living alone,2019,70
431,Siljan,80 years or older,Living with others,2019,52
432,Bamble,67-79 years,Living alone,2019,436
433,Bamble,67-79 years,Living with others,2019,1541
434,Bamble,80 years or older,Living alone,2019,274
435,Bamble,80 years or older,Living with others,2019,261
436,Kragerø,67-79 years,Living alone,2019,502
437,Kragerø,67-79 years,Living with others,2019,1150
438,Kragerø,80 years or older,Living alone,2019,294
439,Kragerø,80 years or older,Living with others,2019,264
440,Drangedal,67-79 years,Living alone,2019,168
441,Drangedal,67-79 years,Living with others,2019,387
442,Drangedal,80 years or older,Living alone,2019,137
443,Drangedal,80 years or older,Living with others,2019,68
444,Nome,67-79 years,Living alone,2019,255
445,Nome,67-79 years,Living with others,2019,624
446,Nome,80 years or older,Living alone,2019,177
447,Nome,80 years or older,Living with others,2019,146
448,Midt-Telemark,67-79 years,Living alone,2019,332
449,Midt-Telemark,67-79 years,Living with others,2019,969
450,Midt-Telemark,80 years or older,Living alone,2019,266
451,Midt-Telemark,80 years or older,Living with others,2019,208
452,Tinn,67-79 years,Living alone,2019,293
453,Tinn,67-79 years,Living with others,2019,570
454,Tinn,80 years or older,Living alone,2019,175
455,Tinn,80 years or older,Living with others,2019,139
456,Hjartdal,67-79 years,Living alone,2019,61
457,Hjartdal,67-79 years,Living with others,2019,172
458,Hjartdal,80 years or older,Living alone,2019,58
459,Hjartdal,80 years or older,Living with others,2019,44
460,Seljord,67-79 years,Living alone,2019,123
461,Seljord,67-79 years,Living with others,2019,308
462,Seljord,80 years or older,Living alone,2019,82
463,Seljord,80 years or older,Living with others,2019,69
464,Kviteseid,67-79 years,Living alone,2019,88
465,Kviteseid,67-79 years,Living with others,2019,239
466,Kviteseid,80 years or older,Living alone,2019,73
467,Kviteseid,80 years or older,Living with others,2019,66
468,Nissedal,67-79 years,Living alone,2019,59
469,Nissedal,67-79 years,Living with others,2019,145
470,Nissedal,80 years or older,Living alone,2019,46
471,Nissedal,80 years or older,Living with others,2019,34
472,Fyresdal,67-79 years,Living alone,2019,65
473,Fyresdal,67-79 years,Living with others,2019,117
474,Fyresdal,80 years or older,Living alone,2019,41
475,Fyresdal,80 years or older,Living with others,2019,26
476,Tokke,67-79 years,Living alone,2019,83
477,Tokke,67-79 years,Living with others,2019,204
478,Tokke,80 years or older,Living alone,2019,70
479,Tokke,80 years or older,Living with others,2019,60
480,Vinje,67-79 years,Living alone,2019,151
481,Vinje,67-79 years,Living with others,2019,351
482,Vinje,80 years or older,Living alone,2019,107
483,Vinje,80 years or older,Living with others,2019,81
484,Risør,67-79 years,Living alone,2019,339
485,Risør,67-79 years,Living with others,2019,746
486,Risør,80 years or older,Living alone,2019,177
487,Risør,80 years or older,Living with others,2019,151
488,Grimstad,67-79 years,Living alone,2019,601
489,Grimstad,67-79 years,Living with others,2019,1806
490,Grimstad,80 years or older,Living alone,2019,412
491,Grimstad,80 years or older,Living with others,2019,424
492,Arendal,67-79 years,Living alone,2019,1537
493,Arendal,67-79 years,Living with others,2019,3787
494,Arendal,80 years or older,Living alone,2019,965
495,Arendal,80 years or older,Living with others,2019,865
