Municipality,To,Commuters
Sarpsborg,Ibestad,0
Sarpsborg,Gratangen,0
Sarpsborg,Lavangen,0
Sarpsborg,Bardu,0
Sarpsborg,Salangen,1
Sarpsborg,Målselv,1
Sarpsborg,Sørreisa,0
Sarpsborg,Dyrøy,0
Sarpsborg,Berg,239
Sarpsborg,Balsfjord,0
Sarpsborg,Karlsøy,0
Sarpsborg,Lyngen,1
Sarpsborg,Storfjord,0
Sarpsborg,Kåfjord,1
Sarpsborg,Skjervøy,0
Sarpsborg,Nordreisa,0
Sarpsborg,Kvænangen,0
Sarpsborg,Vardø,0
Sarpsborg,Vadsø,2
Sarpsborg,Hammerfest,0
Sarpsborg,Kautokeino,0
Sarpsborg,Alta,1
Sarpsborg,Loppa,0
Sarpsborg,Hasvik,0
Sarpsborg,Måsøy,0
Sarpsborg,Nordkapp,0
Sarpsborg,Porsanger,3
Sarpsborg,Karasjok,0
Sarpsborg,Lebesby,0
Sarpsborg,Gamvik,0
Sarpsborg,Berlevåg,0
Sarpsborg,Tana,0
Sarpsborg,Nesseby,0
Sarpsborg,Båtsfjord,0
Sarpsborg,Sør-varanger,0
Sarpsborg,Trondheim,15
Sarpsborg,Namsos,0
Sarpsborg,Hemne,0
Sarpsborg,Frøya,0
Sarpsborg,Ørland,0
Sarpsborg,Åfjord,1
Sarpsborg,Osen,1
Sarpsborg,Oppdal,1
Sarpsborg,Rennebu,0
Sarpsborg,Røros,0
Sarpsborg,Holtålen,0
Sarpsborg,Midtre_Gauldal,0
Sarpsborg,Melhus,0
Sarpsborg,Skaun,0
Sarpsborg,Malvik,1
Sarpsborg,Selbu,0
Sarpsborg,Tydal,0
Sarpsborg,Meråker,0
Sarpsborg,Stjørdal,0
Sarpsborg,Frosta,0
Sarpsborg,Levanger,1
Sarpsborg,Verdal,0
Sarpsborg,Snåsa,0
Sarpsborg,Lierne,0
Sarpsborg,Røyrvik,0
Sarpsborg,Namsskogan,0
Sarpsborg,Grong,0
Sarpsborg,Høylandet,1
Sarpsborg,Overhalla,0
Sarpsborg,Flatanger,0
Sarpsborg,Nærøy,0
Sarpsborg,Leka,0
Sarpsborg,Inderøy,1
Sarpsborg,Indre_Fosen,1
Fredrikstad,Halden,822
Fredrikstad,Moss,434
Fredrikstad,Sarpsborg,4167
Fredrikstad,Fredrikstad,0
Fredrikstad,Hvaler,646
Fredrikstad,Aremark,22
Fredrikstad,Marker,18
Fredrikstad,Skiptvet,46
Fredrikstad,Rakkestad,145
Fredrikstad,Råde,559
Fredrikstad,Vestby,91
Fredrikstad,Ski,161
Fredrikstad,Ås,48
Fredrikstad,Frogn,31
Fredrikstad,Nesodden,19
Fredrikstad,Bærum,52
Fredrikstad,Asker,23
Fredrikstad,Aurskog-Høland,10
Fredrikstad,Rælingen,16
Fredrikstad,Enebakk,12
Fredrikstad,Lørenskog,18
Fredrikstad,Nittedal,7
Fredrikstad,Gjerdrum,4
Fredrikstad,Ullensaker,13
Fredrikstad,Eidsvoll,13
Fredrikstad,Nannestad,1
